subproduct,parameter,month,samples
ChemSpecPM10,Aluminum PM10,2024-08-01,1
ChemSpecPM10,Aluminum PM10,2024-10-01,1
ChemSpecPM10,Aluminum PM10,2024-12-01,1
ChemSpecPM10,Aluminum PM10,2025-02-01,1
ChemSpecPM10,Aluminum PM10,2025-04-01,1
ChemSpecPM10,Aluminum PM10,2025-06-01,1
ChemSpecPM10,Ammonium Ion PM10,2024-08-01,2
ChemSpecPM10,Ammonium Ion PM10,2024-10-01,2
ChemSpecPM10,Ammonium Ion PM10,2024-12-01,2
ChemSpecPM10,Ammonium Ion PM10,2025-02-01,2
ChemSpecPM10,Ammonium Ion PM10,2025-04-01,2
ChemSpecPM10,Ammonium Ion PM10,2025-06-01,1
ChemSpecPM10,Antimony PM10,2024-08-01,1
ChemSpecPM10,Antimony PM10,2024-10-01,1
ChemSpecPM10,Antimony PM10,2024-12-01,1
ChemSpecPM10,Antimony PM10,2025-02-01,1
ChemSpecPM10,Antimony PM10,2025-04-01,1
ChemSpecPM10,Antimony PM10,2025-06-01,1
ChemSpecPM10,Arsenic PM10,2024-08-01,1
ChemSpecPM10,Arsenic PM10,2024-10-01,1
ChemSpecPM10,Arsenic PM10,2024-12-01,1
ChemSpecPM10,Arsenic PM10,2025-02-01,1
ChemSpecPM10,Arsenic PM10,2025-04-01,1
ChemSpecPM10,Arsenic PM10,2025-06-01,1
ChemSpecPM10,BC PM10,2024-08-01,1
ChemSpecPM10,BC PM10,2024-10-01,1
ChemSpecPM10,BC PM10,2024-12-01,1
ChemSpecPM10,BC PM10,2025-02-01,1
ChemSpecPM10,BC PM10,2025-04-01,1
ChemSpecPM10,BC PM10,2025-06-01,1
ChemSpecPM10,Cadmium PM10,2024-08-01,1
ChemSpecPM10,Cadmium PM10,2024-10-01,1
ChemSpecPM10,Cadmium PM10,2024-12-01,1
ChemSpecPM10,Cadmium PM10,2025-02-01,1
ChemSpecPM10,Cadmium PM10,2025-04-01,1
ChemSpecPM10,Cadmium PM10,2025-06-01,1
ChemSpecPM10,Calcium Ion PM10,2024-08-01,2
ChemSpecPM10,Calcium Ion PM10,2024-10-01,2
ChemSpecPM10,Calcium Ion PM10,2024-12-01,2
ChemSpecPM10,Calcium Ion PM10,2025-02-01,2
ChemSpecPM10,Calcium Ion PM10,2025-04-01,2
ChemSpecPM10,Calcium Ion PM10,2025-06-01,1
ChemSpecPM10,Calcium PM10,2024-08-01,1
ChemSpecPM10,Calcium PM10,2024-10-01,1
ChemSpecPM10,Calcium PM10,2024-12-01,1
ChemSpecPM10,Calcium PM10,2025-02-01,1
ChemSpecPM10,Calcium PM10,2025-04-01,1
ChemSpecPM10,Calcium PM10,2025-06-01,1
ChemSpecPM10,Cerium PM10,2024-08-01,1
ChemSpecPM10,Cerium PM10,2024-10-01,1
ChemSpecPM10,Cerium PM10,2024-12-01,1
ChemSpecPM10,Cerium PM10,2025-02-01,1
ChemSpecPM10,Cerium PM10,2025-04-01,1
ChemSpecPM10,Cerium PM10,2025-06-01,1
ChemSpecPM10,Chlorine PM10,2024-08-01,1
ChemSpecPM10,Chlorine PM10,2024-10-01,1
ChemSpecPM10,Chlorine PM10,2024-12-01,1
ChemSpecPM10,Chlorine PM10,2025-02-01,1
ChemSpecPM10,Chlorine PM10,2025-04-01,1
ChemSpecPM10,Chlorine PM10,2025-06-01,1
ChemSpecPM10,Chromium PM10,2024-08-01,1
ChemSpecPM10,Chromium PM10,2024-10-01,1
ChemSpecPM10,Chromium PM10,2024-12-01,1
ChemSpecPM10,Chromium PM10,2025-02-01,1
ChemSpecPM10,Chromium PM10,2025-04-01,1
ChemSpecPM10,Chromium PM10,2025-06-01,1
ChemSpecPM10,Cobalt PM10,2024-08-01,1
ChemSpecPM10,Cobalt PM10,2024-10-01,1
ChemSpecPM10,Cobalt PM10,2024-12-01,1
ChemSpecPM10,Cobalt PM10,2025-02-01,1
ChemSpecPM10,Cobalt PM10,2025-04-01,1
ChemSpecPM10,Cobalt PM10,2025-06-01,1
ChemSpecPM10,Copper PM10,2024-08-01,1
ChemSpecPM10,Copper PM10,2024-10-01,1
ChemSpecPM10,Copper PM10,2024-12-01,1
ChemSpecPM10,Copper PM10,2025-02-01,1
ChemSpecPM10,Copper PM10,2025-04-01,1
ChemSpecPM10,Copper PM10,2025-06-01,1
ChemSpecPM10,EC PM10,2024-08-01,1
ChemSpecPM10,Iron PM10,2024-08-01,1
ChemSpecPM10,Iron PM10,2024-10-01,1
ChemSpecPM10,Iron PM10,2024-12-01,1
ChemSpecPM10,Iron PM10,2025-02-01,1
ChemSpecPM10,Iron PM10,2025-04-01,1
ChemSpecPM10,Iron PM10,2025-06-01,1
ChemSpecPM10,Lead PM10,2024-08-01,1
ChemSpecPM10,Lead PM10,2024-10-01,1
ChemSpecPM10,Lead PM10,2024-12-01,1
ChemSpecPM10,Lead PM10,2025-02-01,1
ChemSpecPM10,Lead PM10,2025-04-01,1
ChemSpecPM10,Lead PM10,2025-06-01,1
ChemSpecPM10,Magnesium Ion PM10,2024-08-01,2
ChemSpecPM10,Magnesium Ion PM10,2024-10-01,2
ChemSpecPM10,Magnesium Ion PM10,2025-02-01,2
ChemSpecPM10,Magnesium Ion PM10,2025-04-01,2
ChemSpecPM10,Magnesium Ion PM10,2024-12-01,1
ChemSpecPM10,Magnesium Ion PM10,2025-06-01,1
ChemSpecPM10,Magnesium PM10,2024-08-01,1
ChemSpecPM10,Magnesium PM10,2024-10-01,1
ChemSpecPM10,Magnesium PM10,2024-12-01,1
ChemSpecPM10,Magnesium PM10,2025-02-01,1
ChemSpecPM10,Magnesium PM10,2025-04-01,1
ChemSpecPM10,Magnesium PM10,2025-06-01,1
ChemSpecPM10,Manganese PM10,2024-08-01,1
ChemSpecPM10,Manganese PM10,2024-10-01,1
ChemSpecPM10,Manganese PM10,2024-12-01,1
ChemSpecPM10,Manganese PM10,2025-02-01,1
ChemSpecPM10,Manganese PM10,2025-04-01,1
ChemSpecPM10,Manganese PM10,2025-06-01,1
ChemSpecPM10,Nickel PM10,2024-08-01,1
ChemSpecPM10,Nickel PM10,2024-10-01,1
ChemSpecPM10,Nickel PM10,2024-12-01,1
ChemSpecPM10,Nickel PM10,2025-02-01,1
ChemSpecPM10,Nickel PM10,2025-04-01,1
ChemSpecPM10,Nickel PM10,2025-06-01,1
ChemSpecPM10,Nitrate Ion PM10,2024-08-01,2
ChemSpecPM10,Nitrate Ion PM10,2024-10-01,2
ChemSpecPM10,Nitrate Ion PM10,2024-12-01,2
ChemSpecPM10,Nitrate Ion PM10,2025-02-01,2
ChemSpecPM10,Nitrate Ion PM10,2025-04-01,2
ChemSpecPM10,Nitrate Ion PM10,2025-06-01,1
ChemSpecPM10,Nitrite Ion PM10,2024-10-01,2
ChemSpecPM10,Nitrite Ion PM10,2024-08-01,1
ChemSpecPM10,Nitrite Ion PM10,2024-12-01,1
ChemSpecPM10,Nitrite Ion PM10,2025-02-01,1
ChemSpecPM10,Nitrite Ion PM10,2025-04-01,1
ChemSpecPM10,OC PM10,2024-08-01,1
ChemSpecPM10,PM10 mass,2024-08-01,1
ChemSpecPM10,PM10 mass,2024-10-01,1
ChemSpecPM10,PM10 mass,2024-12-01,1
ChemSpecPM10,PM10 mass,2025-02-01,1
ChemSpecPM10,PM10 mass,2025-04-01,1
ChemSpecPM10,PM10 mass,2025-06-01,1
ChemSpecPM10,Potassium Ion PM10,2024-08-01,2
ChemSpecPM10,Potassium Ion PM10,2024-10-01,2
ChemSpecPM10,Potassium Ion PM10,2024-12-01,2
ChemSpecPM10,Potassium Ion PM10,2025-02-01,2
ChemSpecPM10,Potassium Ion PM10,2025-04-01,2
ChemSpecPM10,Potassium Ion PM10,2025-06-01,1
ChemSpecPM10,Potassium PM10,2024-08-01,1
ChemSpecPM10,Potassium PM10,2024-10-01,1
ChemSpecPM10,Potassium PM10,2024-12-01,1
ChemSpecPM10,Potassium PM10,2025-02-01,1
ChemSpecPM10,Potassium PM10,2025-04-01,1
ChemSpecPM10,Potassium PM10,2025-06-01,1
ChemSpecPM10,Rubidium PM10,2024-08-01,1
ChemSpecPM10,Rubidium PM10,2024-10-01,1
ChemSpecPM10,Rubidium PM10,2024-12-01,1
ChemSpecPM10,Rubidium PM10,2025-02-01,1
ChemSpecPM10,Rubidium PM10,2025-04-01,1
ChemSpecPM10,Rubidium PM10,2025-06-01,1
ChemSpecPM10,Selenium PM10,2024-08-01,1
ChemSpecPM10,Selenium PM10,2024-10-01,1
ChemSpecPM10,Selenium PM10,2024-12-01,1
ChemSpecPM10,Selenium PM10,2025-02-01,1
ChemSpecPM10,Selenium PM10,2025-04-01,1
ChemSpecPM10,Selenium PM10,2025-06-01,1
ChemSpecPM10,Silicon PM10,2024-08-01,1
ChemSpecPM10,Silicon PM10,2024-10-01,1
ChemSpecPM10,Silicon PM10,2024-12-01,1
ChemSpecPM10,Silicon PM10,2025-02-01,1
ChemSpecPM10,Silicon PM10,2025-04-01,1
ChemSpecPM10,Silicon PM10,2025-06-01,1
ChemSpecPM10,Sodium Ion PM10,2024-08-01,2
ChemSpecPM10,Sodium Ion PM10,2024-10-01,2
ChemSpecPM10,Sodium Ion PM10,2025-02-01,2
ChemSpecPM10,Sodium Ion PM10,2025-04-01,2
ChemSpecPM10,Sodium Ion PM10,2024-12-01,1
ChemSpecPM10,Sodium Ion PM10,2025-06-01,1
ChemSpecPM10,Sodium PM10,2024-08-01,1
ChemSpecPM10,Sodium PM10,2024-10-01,1
ChemSpecPM10,Sodium PM10,2024-12-01,1
ChemSpecPM10,Sodium PM10,2025-02-01,1
ChemSpecPM10,Sodium PM10,2025-04-01,1
ChemSpecPM10,Sodium PM10,2025-06-01,1
ChemSpecPM10,Strontium PM10,2024-08-01,1
ChemSpecPM10,Strontium PM10,2024-10-01,1
ChemSpecPM10,Strontium PM10,2024-12-01,1
ChemSpecPM10,Strontium PM10,2025-02-01,1
ChemSpecPM10,Strontium PM10,2025-04-01,1
ChemSpecPM10,Strontium PM10,2025-06-01,1
ChemSpecPM10,Sulfate Ion PM10,2024-08-01,2
ChemSpecPM10,Sulfate Ion PM10,2024-10-01,2
ChemSpecPM10,Sulfate Ion PM10,2025-02-01,2
ChemSpecPM10,Sulfate Ion PM10,2025-04-01,2
ChemSpecPM10,Sulfate Ion PM10,2024-12-01,1
ChemSpecPM10,Sulfate Ion PM10,2025-06-01,1
ChemSpecPM10,Sulfur PM10,2024-08-01,1
ChemSpecPM10,Sulfur PM10,2024-10-01,1
ChemSpecPM10,Sulfur PM10,2024-12-01,1
ChemSpecPM10,Sulfur PM10,2025-02-01,1
ChemSpecPM10,Sulfur PM10,2025-04-01,1
ChemSpecPM10,Sulfur PM10,2025-06-01,1
ChemSpecPM10,Tin PM10,2024-08-01,1
ChemSpecPM10,Tin PM10,2024-10-01,1
ChemSpecPM10,Tin PM10,2024-12-01,1
ChemSpecPM10,Tin PM10,2025-02-01,1
ChemSpecPM10,Tin PM10,2025-04-01,1
ChemSpecPM10,Tin PM10,2025-06-01,1
ChemSpecPM10,Titanium PM10,2024-08-01,1
ChemSpecPM10,Titanium PM10,2024-10-01,1
ChemSpecPM10,Titanium PM10,2024-12-01,1
ChemSpecPM10,Titanium PM10,2025-02-01,1
ChemSpecPM10,Titanium PM10,2025-04-01,1
ChemSpecPM10,Titanium PM10,2025-06-01,1
ChemSpecPM10,Vanadium PM10,2024-08-01,1
ChemSpecPM10,Vanadium PM10,2024-10-01,1
ChemSpecPM10,Vanadium PM10,2024-12-01,1
ChemSpecPM10,Vanadium PM10,2025-02-01,1
ChemSpecPM10,Vanadium PM10,2025-04-01,1
ChemSpecPM10,Vanadium PM10,2025-06-01,1
ChemSpecPM10,Zinc PM10,2024-08-01,1
ChemSpecPM10,Zinc PM10,2024-10-01,1
ChemSpecPM10,Zinc PM10,2024-12-01,1
ChemSpecPM10,Zinc PM10,2025-02-01,1
ChemSpecPM10,Zinc PM10,2025-04-01,1
ChemSpecPM10,Zinc PM10,2025-06-01,1
ChemSpecPM25,Aluminum PM2.5,2024-01-01,11
ChemSpecPM25,Aluminum PM2.5,2024-03-01,11
ChemSpecPM25,Aluminum PM2.5,2023-04-01,10
ChemSpecPM25,Aluminum PM2.5,2023-06-01,10
ChemSpecPM25,Aluminum PM2.5,2023-07-01,10
ChemSpecPM25,Aluminum PM2.5,2023-11-01,10
ChemSpecPM25,Aluminum PM2.5,2023-12-01,10
ChemSpecPM25,Aluminum PM2.5,2024-04-01,10
ChemSpecPM25,Aluminum PM2.5,2024-07-01,10
ChemSpecPM25,Aluminum PM2.5,2022-12-01,9
ChemSpecPM25,Aluminum PM2.5,2023-01-01,9
ChemSpecPM25,Aluminum PM2.5,2023-02-01,9
ChemSpecPM25,Aluminum PM2.5,2023-08-01,9
ChemSpecPM25,Aluminum PM2.5,2023-09-01,9
ChemSpecPM25,Aluminum PM2.5,2024-02-01,9
ChemSpecPM25,Aluminum PM2.5,2024-06-01,9
ChemSpecPM25,Aluminum PM2.5,2023-03-01,8
ChemSpecPM25,Aluminum PM2.5,2023-05-01,8
ChemSpecPM25,Aluminum PM2.5,2025-12-01,8
ChemSpecPM25,Aluminum PM2.5,2023-10-01,6
ChemSpecPM25,Aluminum PM2.5,2024-08-01,5
ChemSpecPM25,Aluminum PM2.5,2024-05-01,4
ChemSpecPM25,Aluminum PM2.5,2025-11-01,4
ChemSpecPM25,Aluminum PM2.5,2024-10-01,3
ChemSpecPM25,Aluminum PM2.5,2024-11-01,3
ChemSpecPM25,Aluminum PM2.5,2024-12-01,3
ChemSpecPM25,Aluminum PM2.5,2025-01-01,3
ChemSpecPM25,Aluminum PM2.5,2025-02-01,3
ChemSpecPM25,Aluminum PM2.5,2025-03-01,3
ChemSpecPM25,Aluminum PM2.5,2025-04-01,3
ChemSpecPM25,Aluminum PM2.5,2025-05-01,3
ChemSpecPM25,Aluminum PM2.5,2025-07-01,3
ChemSpecPM25,Aluminum PM2.5,2024-09-01,2
ChemSpecPM25,Aluminum PM2.5,2025-06-01,2
ChemSpecPM25,Aluminum PM2.5,2026-01-01,2
ChemSpecPM25,Aluminum PM2.5,2025-08-01,1
ChemSpecPM25,Ammonium Ion PM2.5,2024-07-01,15
ChemSpecPM25,Ammonium Ion PM2.5,2024-01-01,11
ChemSpecPM25,Ammonium Ion PM2.5,2024-03-01,11
ChemSpecPM25,Ammonium Ion PM2.5,2023-04-01,10
ChemSpecPM25,Ammonium Ion PM2.5,2023-06-01,10
ChemSpecPM25,Ammonium Ion PM2.5,2023-07-01,10
ChemSpecPM25,Ammonium Ion PM2.5,2024-04-01,10
ChemSpecPM25,Ammonium Ion PM2.5,2024-08-01,10
ChemSpecPM25,Ammonium Ion PM2.5,2022-12-01,9
ChemSpecPM25,Ammonium Ion PM2.5,2023-01-01,9
ChemSpecPM25,Ammonium Ion PM2.5,2023-02-01,9
ChemSpecPM25,Ammonium Ion PM2.5,2023-08-01,9
ChemSpecPM25,Ammonium Ion PM2.5,2023-09-01,9
ChemSpecPM25,Ammonium Ion PM2.5,2024-02-01,9
ChemSpecPM25,Ammonium Ion PM2.5,2024-06-01,9
ChemSpecPM25,Ammonium Ion PM2.5,2023-03-01,8
ChemSpecPM25,Ammonium Ion PM2.5,2023-05-01,8
ChemSpecPM25,Ammonium Ion PM2.5,2023-10-01,6
ChemSpecPM25,Ammonium Ion PM2.5,2024-10-01,6
ChemSpecPM25,Ammonium Ion PM2.5,2024-11-01,6
ChemSpecPM25,Ammonium Ion PM2.5,2024-12-01,6
ChemSpecPM25,Ammonium Ion PM2.5,2025-01-01,6
ChemSpecPM25,Ammonium Ion PM2.5,2025-02-01,6
ChemSpecPM25,Ammonium Ion PM2.5,2025-03-01,6
ChemSpecPM25,Ammonium Ion PM2.5,2025-04-01,6
ChemSpecPM25,Ammonium Ion PM2.5,2025-05-01,6
ChemSpecPM25,Ammonium Ion PM2.5,2023-12-01,4
ChemSpecPM25,Ammonium Ion PM2.5,2024-05-01,4
ChemSpecPM25,Ammonium Ion PM2.5,2024-09-01,4
ChemSpecPM25,Ammonium Ion PM2.5,2025-07-01,3
ChemSpecPM25,Ammonium Ion PM2.5,2023-11-01,2
ChemSpecPM25,Ammonium Ion PM2.5,2025-06-01,2
ChemSpecPM25,Ammonium Ion PM2.5,2025-08-01,1
ChemSpecPM25,Antimony PM2.5,2024-01-01,11
ChemSpecPM25,Antimony PM2.5,2024-03-01,11
ChemSpecPM25,Antimony PM2.5,2023-04-01,10
ChemSpecPM25,Antimony PM2.5,2023-06-01,10
ChemSpecPM25,Antimony PM2.5,2023-07-01,10
ChemSpecPM25,Antimony PM2.5,2023-11-01,10
ChemSpecPM25,Antimony PM2.5,2023-12-01,10
ChemSpecPM25,Antimony PM2.5,2024-04-01,10
ChemSpecPM25,Antimony PM2.5,2024-07-01,10
ChemSpecPM25,Antimony PM2.5,2022-12-01,9
ChemSpecPM25,Antimony PM2.5,2023-01-01,9
ChemSpecPM25,Antimony PM2.5,2023-02-01,9
ChemSpecPM25,Antimony PM2.5,2023-08-01,9
ChemSpecPM25,Antimony PM2.5,2023-09-01,9
ChemSpecPM25,Antimony PM2.5,2024-02-01,9
ChemSpecPM25,Antimony PM2.5,2024-06-01,9
ChemSpecPM25,Antimony PM2.5,2023-03-01,8
ChemSpecPM25,Antimony PM2.5,2023-05-01,8
ChemSpecPM25,Antimony PM2.5,2025-12-01,8
ChemSpecPM25,Antimony PM2.5,2023-10-01,6
ChemSpecPM25,Antimony PM2.5,2024-08-01,5
ChemSpecPM25,Antimony PM2.5,2024-05-01,4
ChemSpecPM25,Antimony PM2.5,2025-11-01,4
ChemSpecPM25,Antimony PM2.5,2024-10-01,3
ChemSpecPM25,Antimony PM2.5,2024-11-01,3
ChemSpecPM25,Antimony PM2.5,2024-12-01,3
ChemSpecPM25,Antimony PM2.5,2025-01-01,3
ChemSpecPM25,Antimony PM2.5,2025-02-01,3
ChemSpecPM25,Antimony PM2.5,2025-03-01,3
ChemSpecPM25,Antimony PM2.5,2025-04-01,3
ChemSpecPM25,Antimony PM2.5,2025-05-01,3
ChemSpecPM25,Antimony PM2.5,2025-07-01,3
ChemSpecPM25,Antimony PM2.5,2024-09-01,2
ChemSpecPM25,Antimony PM2.5,2025-06-01,2
ChemSpecPM25,Antimony PM2.5,2026-01-01,2
ChemSpecPM25,Antimony PM2.5,2025-08-01,1
ChemSpecPM25,Arsenic PM2.5,2024-01-01,11
ChemSpecPM25,Arsenic PM2.5,2024-03-01,11
ChemSpecPM25,Arsenic PM2.5,2023-04-01,10
ChemSpecPM25,Arsenic PM2.5,2023-06-01,10
ChemSpecPM25,Arsenic PM2.5,2023-07-01,10
ChemSpecPM25,Arsenic PM2.5,2023-11-01,10
ChemSpecPM25,Arsenic PM2.5,2023-12-01,10
ChemSpecPM25,Arsenic PM2.5,2024-04-01,10
ChemSpecPM25,Arsenic PM2.5,2024-07-01,10
ChemSpecPM25,Arsenic PM2.5,2022-12-01,9
ChemSpecPM25,Arsenic PM2.5,2023-01-01,9
ChemSpecPM25,Arsenic PM2.5,2023-02-01,9
ChemSpecPM25,Arsenic PM2.5,2023-08-01,9
ChemSpecPM25,Arsenic PM2.5,2023-09-01,9
ChemSpecPM25,Arsenic PM2.5,2024-02-01,9
ChemSpecPM25,Arsenic PM2.5,2024-06-01,9
ChemSpecPM25,Arsenic PM2.5,2023-03-01,8
ChemSpecPM25,Arsenic PM2.5,2023-05-01,8
ChemSpecPM25,Arsenic PM2.5,2025-12-01,8
ChemSpecPM25,Arsenic PM2.5,2023-10-01,6
ChemSpecPM25,Arsenic PM2.5,2024-08-01,5
ChemSpecPM25,Arsenic PM2.5,2024-05-01,4
ChemSpecPM25,Arsenic PM2.5,2025-11-01,4
ChemSpecPM25,Arsenic PM2.5,2024-10-01,3
ChemSpecPM25,Arsenic PM2.5,2024-11-01,3
ChemSpecPM25,Arsenic PM2.5,2024-12-01,3
ChemSpecPM25,Arsenic PM2.5,2025-01-01,3
ChemSpecPM25,Arsenic PM2.5,2025-02-01,3
ChemSpecPM25,Arsenic PM2.5,2025-03-01,3
ChemSpecPM25,Arsenic PM2.5,2025-04-01,3
ChemSpecPM25,Arsenic PM2.5,2025-05-01,3
ChemSpecPM25,Arsenic PM2.5,2025-07-01,3
ChemSpecPM25,Arsenic PM2.5,2024-09-01,2
ChemSpecPM25,Arsenic PM2.5,2025-06-01,2
ChemSpecPM25,Arsenic PM2.5,2026-01-01,2
ChemSpecPM25,Arsenic PM2.5,2025-08-01,1
ChemSpecPM25,BC PM2.5,2024-01-01,11
ChemSpecPM25,BC PM2.5,2024-03-01,11
ChemSpecPM25,BC PM2.5,2023-04-01,10
ChemSpecPM25,BC PM2.5,2023-06-01,10
ChemSpecPM25,BC PM2.5,2023-07-01,10
ChemSpecPM25,BC PM2.5,2023-11-01,10
ChemSpecPM25,BC PM2.5,2023-12-01,10
ChemSpecPM25,BC PM2.5,2024-04-01,10
ChemSpecPM25,BC PM2.5,2024-07-01,10
ChemSpecPM25,BC PM2.5,2022-12-01,9
ChemSpecPM25,BC PM2.5,2023-01-01,9
ChemSpecPM25,BC PM2.5,2023-02-01,9
ChemSpecPM25,BC PM2.5,2023-08-01,9
ChemSpecPM25,BC PM2.5,2023-09-01,9
ChemSpecPM25,BC PM2.5,2024-02-01,9
ChemSpecPM25,BC PM2.5,2024-06-01,9
ChemSpecPM25,BC PM2.5,2023-03-01,8
ChemSpecPM25,BC PM2.5,2023-05-01,8
ChemSpecPM25,BC PM2.5,2025-12-01,8
ChemSpecPM25,BC PM2.5,2023-10-01,6
ChemSpecPM25,BC PM2.5,2024-08-01,5
ChemSpecPM25,BC PM2.5,2024-05-01,4
ChemSpecPM25,BC PM2.5,2025-11-01,4
ChemSpecPM25,BC PM2.5,2024-10-01,3
ChemSpecPM25,BC PM2.5,2024-11-01,3
ChemSpecPM25,BC PM2.5,2024-12-01,3
ChemSpecPM25,BC PM2.5,2025-01-01,3
ChemSpecPM25,BC PM2.5,2025-02-01,3
ChemSpecPM25,BC PM2.5,2025-03-01,3
ChemSpecPM25,BC PM2.5,2025-04-01,3
ChemSpecPM25,BC PM2.5,2025-05-01,3
ChemSpecPM25,BC PM2.5,2025-07-01,3
ChemSpecPM25,BC PM2.5,2024-09-01,2
ChemSpecPM25,BC PM2.5,2025-06-01,2
ChemSpecPM25,BC PM2.5,2026-01-01,2
ChemSpecPM25,BC PM2.5,2025-08-01,1
ChemSpecPM25,Bromide Ion PM2.5,2024-08-01,2
ChemSpecPM25,Cadmium PM2.5,2024-01-01,11
ChemSpecPM25,Cadmium PM2.5,2024-03-01,11
ChemSpecPM25,Cadmium PM2.5,2023-04-01,10
ChemSpecPM25,Cadmium PM2.5,2023-06-01,10
ChemSpecPM25,Cadmium PM2.5,2023-07-01,10
ChemSpecPM25,Cadmium PM2.5,2023-11-01,10
ChemSpecPM25,Cadmium PM2.5,2023-12-01,10
ChemSpecPM25,Cadmium PM2.5,2024-04-01,10
ChemSpecPM25,Cadmium PM2.5,2024-07-01,10
ChemSpecPM25,Cadmium PM2.5,2022-12-01,9
ChemSpecPM25,Cadmium PM2.5,2023-01-01,9
ChemSpecPM25,Cadmium PM2.5,2023-02-01,9
ChemSpecPM25,Cadmium PM2.5,2023-08-01,9
ChemSpecPM25,Cadmium PM2.5,2023-09-01,9
ChemSpecPM25,Cadmium PM2.5,2024-02-01,9
ChemSpecPM25,Cadmium PM2.5,2024-06-01,9
ChemSpecPM25,Cadmium PM2.5,2023-03-01,8
ChemSpecPM25,Cadmium PM2.5,2023-05-01,8
ChemSpecPM25,Cadmium PM2.5,2025-12-01,8
ChemSpecPM25,Cadmium PM2.5,2023-10-01,6
ChemSpecPM25,Cadmium PM2.5,2024-08-01,5
ChemSpecPM25,Cadmium PM2.5,2024-05-01,4
