subproduct,parameter,month,samples
ChemSpecPM25,Magnesium Ion PM2.5,2023-01-01,9
ChemSpecPM25,Magnesium Ion PM2.5,2023-02-01,9
ChemSpecPM25,Magnesium Ion PM2.5,2023-08-01,9
ChemSpecPM25,Magnesium Ion PM2.5,2023-09-01,9
ChemSpecPM25,Magnesium Ion PM2.5,2024-06-01,9
ChemSpecPM25,Magnesium Ion PM2.5,2023-03-01,8
ChemSpecPM25,Magnesium Ion PM2.5,2023-05-01,8
ChemSpecPM25,Magnesium Ion PM2.5,2023-11-01,8
ChemSpecPM25,Magnesium Ion PM2.5,2024-02-01,6
ChemSpecPM25,Magnesium Ion PM2.5,2024-12-01,6
ChemSpecPM25,Magnesium Ion PM2.5,2025-02-01,6
ChemSpecPM25,Magnesium Ion PM2.5,2025-03-01,6
ChemSpecPM25,Magnesium Ion PM2.5,2025-04-01,6
ChemSpecPM25,Magnesium Ion PM2.5,2025-05-01,6
ChemSpecPM25,Magnesium Ion PM2.5,2024-01-01,5
ChemSpecPM25,Magnesium Ion PM2.5,2024-10-01,5
ChemSpecPM25,Magnesium Ion PM2.5,2023-10-01,4
ChemSpecPM25,Magnesium Ion PM2.5,2024-05-01,4
ChemSpecPM25,Magnesium Ion PM2.5,2024-09-01,4
ChemSpecPM25,Magnesium Ion PM2.5,2024-11-01,4
ChemSpecPM25,Magnesium Ion PM2.5,2025-01-01,3
ChemSpecPM25,Magnesium Ion PM2.5,2025-07-01,3
ChemSpecPM25,Magnesium Ion PM2.5,2025-06-01,2
ChemSpecPM25,Magnesium Ion PM2.5,2025-08-01,1
ChemSpecPM25,Magnesium PM2.5,2024-01-01,11
ChemSpecPM25,Magnesium PM2.5,2024-03-01,11
ChemSpecPM25,Magnesium PM2.5,2023-04-01,10
ChemSpecPM25,Magnesium PM2.5,2023-06-01,10
ChemSpecPM25,Magnesium PM2.5,2023-07-01,10
ChemSpecPM25,Magnesium PM2.5,2023-11-01,10
ChemSpecPM25,Magnesium PM2.5,2023-12-01,10
ChemSpecPM25,Magnesium PM2.5,2024-04-01,10
ChemSpecPM25,Magnesium PM2.5,2024-07-01,10
ChemSpecPM25,Magnesium PM2.5,2022-12-01,9
ChemSpecPM25,Magnesium PM2.5,2023-01-01,9
ChemSpecPM25,Magnesium PM2.5,2023-02-01,9
ChemSpecPM25,Magnesium PM2.5,2023-08-01,9
ChemSpecPM25,Magnesium PM2.5,2023-09-01,9
ChemSpecPM25,Magnesium PM2.5,2024-02-01,9
ChemSpecPM25,Magnesium PM2.5,2024-06-01,9
ChemSpecPM25,Magnesium PM2.5,2023-03-01,8
ChemSpecPM25,Magnesium PM2.5,2023-05-01,8
ChemSpecPM25,Magnesium PM2.5,2025-12-01,8
ChemSpecPM25,Magnesium PM2.5,2023-10-01,6
ChemSpecPM25,Magnesium PM2.5,2024-08-01,5
ChemSpecPM25,Magnesium PM2.5,2024-05-01,4
ChemSpecPM25,Magnesium PM2.5,2025-11-01,4
ChemSpecPM25,Magnesium PM2.5,2024-10-01,3
ChemSpecPM25,Magnesium PM2.5,2024-11-01,3
ChemSpecPM25,Magnesium PM2.5,2024-12-01,3
ChemSpecPM25,Magnesium PM2.5,2025-01-01,3
ChemSpecPM25,Magnesium PM2.5,2025-02-01,3
ChemSpecPM25,Magnesium PM2.5,2025-03-01,3
ChemSpecPM25,Magnesium PM2.5,2025-04-01,3
ChemSpecPM25,Magnesium PM2.5,2025-05-01,3
ChemSpecPM25,Magnesium PM2.5,2025-07-01,3
ChemSpecPM25,Magnesium PM2.5,2024-09-01,2
ChemSpecPM25,Magnesium PM2.5,2025-06-01,2
ChemSpecPM25,Magnesium PM2.5,2026-01-01,2
ChemSpecPM25,Magnesium PM2.5,2025-08-01,1
ChemSpecPM25,Manganese PM2.5,2024-01-01,11
ChemSpecPM25,Manganese PM2.5,2024-03-01,11
ChemSpecPM25,Manganese PM2.5,2023-04-01,10
ChemSpecPM25,Manganese PM2.5,2023-06-01,10
ChemSpecPM25,Manganese PM2.5,2023-07-01,10
ChemSpecPM25,Manganese PM2.5,2023-11-01,10
ChemSpecPM25,Manganese PM2.5,2023-12-01,10
ChemSpecPM25,Manganese PM2.5,2024-04-01,10
ChemSpecPM25,Manganese PM2.5,2024-07-01,10
ChemSpecPM25,Manganese PM2.5,2022-12-01,9
ChemSpecPM25,Manganese PM2.5,2023-01-01,9
ChemSpecPM25,Manganese PM2.5,2023-02-01,9
ChemSpecPM25,Manganese PM2.5,2023-08-01,9
ChemSpecPM25,Manganese PM2.5,2023-09-01,9
ChemSpecPM25,Manganese PM2.5,2024-02-01,9
ChemSpecPM25,Manganese PM2.5,2024-06-01,9
ChemSpecPM25,Manganese PM2.5,2023-03-01,8
ChemSpecPM25,Manganese PM2.5,2023-05-01,8
ChemSpecPM25,Manganese PM2.5,2025-12-01,8
ChemSpecPM25,Manganese PM2.5,2023-10-01,6
ChemSpecPM25,Manganese PM2.5,2024-08-01,5
ChemSpecPM25,Manganese PM2.5,2024-05-01,4
ChemSpecPM25,Manganese PM2.5,2025-11-01,4
ChemSpecPM25,Manganese PM2.5,2024-10-01,3
ChemSpecPM25,Manganese PM2.5,2024-11-01,3
ChemSpecPM25,Manganese PM2.5,2024-12-01,3
ChemSpecPM25,Manganese PM2.5,2025-01-01,3
ChemSpecPM25,Manganese PM2.5,2025-02-01,3
ChemSpecPM25,Manganese PM2.5,2025-03-01,3
ChemSpecPM25,Manganese PM2.5,2025-04-01,3
ChemSpecPM25,Manganese PM2.5,2025-05-01,3
ChemSpecPM25,Manganese PM2.5,2025-07-01,3
ChemSpecPM25,Manganese PM2.5,2024-09-01,2
ChemSpecPM25,Manganese PM2.5,2025-06-01,2
ChemSpecPM25,Manganese PM2.5,2026-01-01,2
ChemSpecPM25,Manganese PM2.5,2025-08-01,1
ChemSpecPM25,Nickel PM2.5,2024-01-01,11
ChemSpecPM25,Nickel PM2.5,2024-03-01,11
ChemSpecPM25,Nickel PM2.5,2023-04-01,10
ChemSpecPM25,Nickel PM2.5,2023-06-01,10
ChemSpecPM25,Nickel PM2.5,2023-07-01,10
ChemSpecPM25,Nickel PM2.5,2023-11-01,10
ChemSpecPM25,Nickel PM2.5,2023-12-01,10
ChemSpecPM25,Nickel PM2.5,2024-04-01,10
ChemSpecPM25,Nickel PM2.5,2024-07-01,10
ChemSpecPM25,Nickel PM2.5,2022-12-01,9
ChemSpecPM25,Nickel PM2.5,2023-01-01,9
ChemSpecPM25,Nickel PM2.5,2023-02-01,9
ChemSpecPM25,Nickel PM2.5,2023-08-01,9
ChemSpecPM25,Nickel PM2.5,2023-09-01,9
ChemSpecPM25,Nickel PM2.5,2024-02-01,9
ChemSpecPM25,Nickel PM2.5,2024-06-01,9
ChemSpecPM25,Nickel PM2.5,2023-03-01,8
ChemSpecPM25,Nickel PM2.5,2023-05-01,8
ChemSpecPM25,Nickel PM2.5,2025-12-01,8
ChemSpecPM25,Nickel PM2.5,2023-10-01,6
ChemSpecPM25,Nickel PM2.5,2024-08-01,5
ChemSpecPM25,Nickel PM2.5,2024-05-01,4
ChemSpecPM25,Nickel PM2.5,2025-11-01,4
ChemSpecPM25,Nickel PM2.5,2024-10-01,3
ChemSpecPM25,Nickel PM2.5,2024-11-01,3
ChemSpecPM25,Nickel PM2.5,2024-12-01,3
ChemSpecPM25,Nickel PM2.5,2025-01-01,3
ChemSpecPM25,Nickel PM2.5,2025-02-01,3
ChemSpecPM25,Nickel PM2.5,2025-03-01,3
ChemSpecPM25,Nickel PM2.5,2025-04-01,3
ChemSpecPM25,Nickel PM2.5,2025-05-01,3
ChemSpecPM25,Nickel PM2.5,2025-07-01,3
ChemSpecPM25,Nickel PM2.5,2024-09-01,2
ChemSpecPM25,Nickel PM2.5,2025-06-01,2
ChemSpecPM25,Nickel PM2.5,2026-01-01,2
ChemSpecPM25,Nickel PM2.5,2025-08-01,1
ChemSpecPM25,Nitrate Ion PM2.5,2024-07-01,15
ChemSpecPM25,Nitrate Ion PM2.5,2024-01-01,11
ChemSpecPM25,Nitrate Ion PM2.5,2024-03-01,11
ChemSpecPM25,Nitrate Ion PM2.5,2023-04-01,10
ChemSpecPM25,Nitrate Ion PM2.5,2023-06-01,10
ChemSpecPM25,Nitrate Ion PM2.5,2023-11-01,10
ChemSpecPM25,Nitrate Ion PM2.5,2023-12-01,10
ChemSpecPM25,Nitrate Ion PM2.5,2024-04-01,10
ChemSpecPM25,Nitrate Ion PM2.5,2024-08-01,10
ChemSpecPM25,Nitrate Ion PM2.5,2022-12-01,9
ChemSpecPM25,Nitrate Ion PM2.5,2023-01-01,9
ChemSpecPM25,Nitrate Ion PM2.5,2023-02-01,9
ChemSpecPM25,Nitrate Ion PM2.5,2023-08-01,9
ChemSpecPM25,Nitrate Ion PM2.5,2023-09-01,9
ChemSpecPM25,Nitrate Ion PM2.5,2024-02-01,9
ChemSpecPM25,Nitrate Ion PM2.5,2024-06-01,9
ChemSpecPM25,Nitrate Ion PM2.5,2023-03-01,8
ChemSpecPM25,Nitrate Ion PM2.5,2023-05-01,8
ChemSpecPM25,Nitrate Ion PM2.5,2023-07-01,8
ChemSpecPM25,Nitrate Ion PM2.5,2023-10-01,6
ChemSpecPM25,Nitrate Ion PM2.5,2024-10-01,6
ChemSpecPM25,Nitrate Ion PM2.5,2024-11-01,6
ChemSpecPM25,Nitrate Ion PM2.5,2024-12-01,6
ChemSpecPM25,Nitrate Ion PM2.5,2025-01-01,6
ChemSpecPM25,Nitrate Ion PM2.5,2025-02-01,6
ChemSpecPM25,Nitrate Ion PM2.5,2025-03-01,6
ChemSpecPM25,Nitrate Ion PM2.5,2025-04-01,6
ChemSpecPM25,Nitrate Ion PM2.5,2025-05-01,6
ChemSpecPM25,Nitrate Ion PM2.5,2024-05-01,4
ChemSpecPM25,Nitrate Ion PM2.5,2024-09-01,4
ChemSpecPM25,Nitrate Ion PM2.5,2025-07-01,3
ChemSpecPM25,Nitrate Ion PM2.5,2025-06-01,2
ChemSpecPM25,Nitrate Ion PM2.5,2025-08-01,1
ChemSpecPM25,Nitrite Ion PM2.5,2024-07-01,15
ChemSpecPM25,Nitrite Ion PM2.5,2024-04-01,10
ChemSpecPM25,Nitrite Ion PM2.5,2023-02-01,9
ChemSpecPM25,Nitrite Ion PM2.5,2023-08-01,9
ChemSpecPM25,Nitrite Ion PM2.5,2023-09-01,9
ChemSpecPM25,Nitrite Ion PM2.5,2024-03-01,9
ChemSpecPM25,Nitrite Ion PM2.5,2024-06-01,9
ChemSpecPM25,Nitrite Ion PM2.5,2022-12-01,8
ChemSpecPM25,Nitrite Ion PM2.5,2023-01-01,8
ChemSpecPM25,Nitrite Ion PM2.5,2023-03-01,8
ChemSpecPM25,Nitrite Ion PM2.5,2023-04-01,8
ChemSpecPM25,Nitrite Ion PM2.5,2023-06-01,8
ChemSpecPM25,Nitrite Ion PM2.5,2023-11-01,8
ChemSpecPM25,Nitrite Ion PM2.5,2024-02-01,8
ChemSpecPM25,Nitrite Ion PM2.5,2023-05-01,7
ChemSpecPM25,Nitrite Ion PM2.5,2023-07-01,7
ChemSpecPM25,Nitrite Ion PM2.5,2023-12-01,7
ChemSpecPM25,Nitrite Ion PM2.5,2024-01-01,7
ChemSpecPM25,Nitrite Ion PM2.5,2024-08-01,6
ChemSpecPM25,Nitrite Ion PM2.5,2023-10-01,5
ChemSpecPM25,Nitrite Ion PM2.5,2024-10-01,5
ChemSpecPM25,Nitrite Ion PM2.5,2024-05-01,4
ChemSpecPM25,Nitrite Ion PM2.5,2024-11-01,4
ChemSpecPM25,Nitrite Ion PM2.5,2024-12-01,3
ChemSpecPM25,Nitrite Ion PM2.5,2025-01-01,3
ChemSpecPM25,Nitrite Ion PM2.5,2025-02-01,3
ChemSpecPM25,Nitrite Ion PM2.5,2025-03-01,3
ChemSpecPM25,Nitrite Ion PM2.5,2025-04-01,2
ChemSpecPM25,Nitrite Ion PM2.5,2024-09-01,1
ChemSpecPM25,Nitrite Ion PM2.5,2025-05-01,1
ChemSpecPM25,Nitrite Ion PM2.5,2025-06-01,1
ChemSpecPM25,Nitrite Ion PM2.5,2025-08-01,1
ChemSpecPM25,OC PM2.5,2024-01-01,11
ChemSpecPM25,OC PM2.5,2024-03-01,11
ChemSpecPM25,OC PM2.5,2023-04-01,10
ChemSpecPM25,OC PM2.5,2023-06-01,10
ChemSpecPM25,OC PM2.5,2023-07-01,10
ChemSpecPM25,OC PM2.5,2023-11-01,10
ChemSpecPM25,OC PM2.5,2023-12-01,10
ChemSpecPM25,OC PM2.5,2024-04-01,10
ChemSpecPM25,OC PM2.5,2024-07-01,10
ChemSpecPM25,OC PM2.5,2022-12-01,9
ChemSpecPM25,OC PM2.5,2023-01-01,9
ChemSpecPM25,OC PM2.5,2023-02-01,9
ChemSpecPM25,OC PM2.5,2023-08-01,9
ChemSpecPM25,OC PM2.5,2023-09-01,9
ChemSpecPM25,OC PM2.5,2024-02-01,9
ChemSpecPM25,OC PM2.5,2024-06-01,9
ChemSpecPM25,OC PM2.5,2023-03-01,8
ChemSpecPM25,OC PM2.5,2023-05-01,8
ChemSpecPM25,OC PM2.5,2025-12-01,8
ChemSpecPM25,OC PM2.5,2023-10-01,6
ChemSpecPM25,OC PM2.5,2024-08-01,5
ChemSpecPM25,OC PM2.5,2024-05-01,4
ChemSpecPM25,OC PM2.5,2025-11-01,4
ChemSpecPM25,OC PM2.5,2024-10-01,3
ChemSpecPM25,OC PM2.5,2024-11-01,3
ChemSpecPM25,OC PM2.5,2024-12-01,3
ChemSpecPM25,OC PM2.5,2025-01-01,3
ChemSpecPM25,OC PM2.5,2025-02-01,3
ChemSpecPM25,OC PM2.5,2025-03-01,3
ChemSpecPM25,OC PM2.5,2025-04-01,3
ChemSpecPM25,OC PM2.5,2025-05-01,3
ChemSpecPM25,OC PM2.5,2025-07-01,3
ChemSpecPM25,OC PM2.5,2024-09-01,2
ChemSpecPM25,OC PM2.5,2025-06-01,2
ChemSpecPM25,OC PM2.5,2026-01-01,2
ChemSpecPM25,OC PM2.5,2025-08-01,1
ChemSpecPM25,OM PM2.5,2024-01-01,11
ChemSpecPM25,OM PM2.5,2024-03-01,11
ChemSpecPM25,OM PM2.5,2023-04-01,10
ChemSpecPM25,OM PM2.5,2023-06-01,10
ChemSpecPM25,OM PM2.5,2023-07-01,10
ChemSpecPM25,OM PM2.5,2023-11-01,10
ChemSpecPM25,OM PM2.5,2023-12-01,10
ChemSpecPM25,OM PM2.5,2024-04-01,10
ChemSpecPM25,OM PM2.5,2022-12-01,9
ChemSpecPM25,OM PM2.5,2023-01-01,9
ChemSpecPM25,OM PM2.5,2023-02-01,9
ChemSpecPM25,OM PM2.5,2023-08-01,9
ChemSpecPM25,OM PM2.5,2023-09-01,9
ChemSpecPM25,OM PM2.5,2024-02-01,9
ChemSpecPM25,OM PM2.5,2023-03-01,8
ChemSpecPM25,OM PM2.5,2023-05-01,8
ChemSpecPM25,OM PM2.5,2025-12-01,8
ChemSpecPM25,OM PM2.5,2023-10-01,6
ChemSpecPM25,OM PM2.5,2024-05-01,4
ChemSpecPM25,OM PM2.5,2025-11-01,4
ChemSpecPM25,OM PM2.5,2024-10-01,3
ChemSpecPM25,OM PM2.5,2024-11-01,3
ChemSpecPM25,OM PM2.5,2024-12-01,3
ChemSpecPM25,OM PM2.5,2025-01-01,3
ChemSpecPM25,OM PM2.5,2025-02-01,3
ChemSpecPM25,OM PM2.5,2025-03-01,3
ChemSpecPM25,OM PM2.5,2025-04-01,3
ChemSpecPM25,OM PM2.5,2025-05-01,3
ChemSpecPM25,OM PM2.5,2025-07-01,3
ChemSpecPM25,OM PM2.5,2025-06-01,2
ChemSpecPM25,OM PM2.5,2026-01-01,2
ChemSpecPM25,OM PM2.5,2025-08-01,1
ChemSpecPM25,Phosphate Ion PM2.5,2023-09-01,9
ChemSpecPM25,Phosphate Ion PM2.5,2023-08-01,6
ChemSpecPM25,Phosphate Ion PM2.5,2023-01-01,5
ChemSpecPM25,Phosphate Ion PM2.5,2022-12-01,2
ChemSpecPM25,Phosphate Ion PM2.5,2023-10-01,1
ChemSpecPM25,Phosphate Ion PM2.5,2025-02-01,1
ChemSpecPM25,Potassium Ion PM2.5,2024-07-01,15
ChemSpecPM25,Potassium Ion PM2.5,2024-01-01,11
ChemSpecPM25,Potassium Ion PM2.5,2024-03-01,11
ChemSpecPM25,Potassium Ion PM2.5,2023-04-01,10
ChemSpecPM25,Potassium Ion PM2.5,2023-06-01,10
ChemSpecPM25,Potassium Ion PM2.5,2023-07-01,10
ChemSpecPM25,Potassium Ion PM2.5,2023-11-01,10
ChemSpecPM25,Potassium Ion PM2.5,2023-12-01,10
ChemSpecPM25,Potassium Ion PM2.5,2024-04-01,10
ChemSpecPM25,Potassium Ion PM2.5,2024-08-01,10
ChemSpecPM25,Potassium Ion PM2.5,2022-12-01,9
ChemSpecPM25,Potassium Ion PM2.5,2023-01-01,9
ChemSpecPM25,Potassium Ion PM2.5,2023-02-01,9
ChemSpecPM25,Potassium Ion PM2.5,2023-08-01,9
ChemSpecPM25,Potassium Ion PM2.5,2023-09-01,9
ChemSpecPM25,Potassium Ion PM2.5,2024-02-01,9
ChemSpecPM25,Potassium Ion PM2.5,2024-06-01,9
ChemSpecPM25,Potassium Ion PM2.5,2023-03-01,8
ChemSpecPM25,Potassium Ion PM2.5,2023-05-01,8
ChemSpecPM25,Potassium Ion PM2.5,2023-10-01,6
ChemSpecPM25,Potassium Ion PM2.5,2024-10-01,6
ChemSpecPM25,Potassium Ion PM2.5,2024-11-01,6
ChemSpecPM25,Potassium Ion PM2.5,2024-12-01,6
ChemSpecPM25,Potassium Ion PM2.5,2025-01-01,6
ChemSpecPM25,Potassium Ion PM2.5,2025-02-01,6
ChemSpecPM25,Potassium Ion PM2.5,2025-03-01,6
ChemSpecPM25,Potassium Ion PM2.5,2025-04-01,6
ChemSpecPM25,Potassium Ion PM2.5,2025-05-01,6
ChemSpecPM25,Potassium Ion PM2.5,2024-05-01,4
ChemSpecPM25,Potassium Ion PM2.5,2024-09-01,4
ChemSpecPM25,Potassium Ion PM2.5,2025-07-01,3
ChemSpecPM25,Potassium Ion PM2.5,2025-06-01,2
ChemSpecPM25,Potassium Ion PM2.5,2025-08-01,1
ChemSpecPM25,Potassium PM2.5,2024-01-01,11
ChemSpecPM25,Potassium PM2.5,2024-03-01,11
ChemSpecPM25,Potassium PM2.5,2023-04-01,10
ChemSpecPM25,Potassium PM2.5,2023-06-01,10
ChemSpecPM25,Potassium PM2.5,2023-07-01,10
ChemSpecPM25,Potassium PM2.5,2023-11-01,10
ChemSpecPM25,Potassium PM2.5,2023-12-01,10
ChemSpecPM25,Potassium PM2.5,2024-04-01,10
ChemSpecPM25,Potassium PM2.5,2024-07-01,10
ChemSpecPM25,Potassium PM2.5,2022-12-01,9
ChemSpecPM25,Potassium PM2.5,2023-01-01,9
ChemSpecPM25,Potassium PM2.5,2023-02-01,9
ChemSpecPM25,Potassium PM2.5,2023-08-01,9
ChemSpecPM25,Potassium PM2.5,2023-09-01,9
ChemSpecPM25,Potassium PM2.5,2024-02-01,9
ChemSpecPM25,Potassium PM2.5,2024-06-01,9
ChemSpecPM25,Potassium PM2.5,2023-03-01,8
ChemSpecPM25,Potassium PM2.5,2023-05-01,8
ChemSpecPM25,Potassium PM2.5,2025-12-01,8
ChemSpecPM25,Potassium PM2.5,2023-10-01,6
ChemSpecPM25,Potassium PM2.5,2024-08-01,5
ChemSpecPM25,Potassium PM2.5,2024-05-01,4
ChemSpecPM25,Potassium PM2.5,2025-11-01,4
ChemSpecPM25,Potassium PM2.5,2024-10-01,3
ChemSpecPM25,Potassium PM2.5,2024-11-01,3
ChemSpecPM25,Potassium PM2.5,2024-12-01,3
ChemSpecPM25,Potassium PM2.5,2025-01-01,3
ChemSpecPM25,Potassium PM2.5,2025-02-01,3
ChemSpecPM25,Potassium PM2.5,2025-03-01,3
ChemSpecPM25,Potassium PM2.5,2025-04-01,3
ChemSpecPM25,Potassium PM2.5,2025-05-01,3
ChemSpecPM25,Potassium PM2.5,2025-07-01,3
ChemSpecPM25,Potassium PM2.5,2024-09-01,2
ChemSpecPM25,Potassium PM2.5,2025-06-01,2
ChemSpecPM25,Potassium PM2.5,2026-01-01,2
ChemSpecPM25,Potassium PM2.5,2025-08-01,1
ChemSpecPM25,Rubidium PM2.5,2024-01-01,11
ChemSpecPM25,Rubidium PM2.5,2024-03-01,11
ChemSpecPM25,Rubidium PM2.5,2023-04-01,10
ChemSpecPM25,Rubidium PM2.5,2023-06-01,10
ChemSpecPM25,Rubidium PM2.5,2023-07-01,10
ChemSpecPM25,Rubidium PM2.5,2023-11-01,10
ChemSpecPM25,Rubidium PM2.5,2023-12-01,10
ChemSpecPM25,Rubidium PM2.5,2024-04-01,10
ChemSpecPM25,Rubidium PM2.5,2024-07-01,10
ChemSpecPM25,Rubidium PM2.5,2022-12-01,9
ChemSpecPM25,Rubidium PM2.5,2023-01-01,9
ChemSpecPM25,Rubidium PM2.5,2023-02-01,9
ChemSpecPM25,Rubidium PM2.5,2023-08-01,9
ChemSpecPM25,Rubidium PM2.5,2023-09-01,9
ChemSpecPM25,Rubidium PM2.5,2024-02-01,9
ChemSpecPM25,Rubidium PM2.5,2024-06-01,9
ChemSpecPM25,Rubidium PM2.5,2023-03-01,8
ChemSpecPM25,Rubidium PM2.5,2023-05-01,8
ChemSpecPM25,Rubidium PM2.5,2025-12-01,8
ChemSpecPM25,Rubidium PM2.5,2023-10-01,6
ChemSpecPM25,Rubidium PM2.5,2024-08-01,5
ChemSpecPM25,Rubidium PM2.5,2024-05-01,4
ChemSpecPM25,Rubidium PM2.5,2025-11-01,4
ChemSpecPM25,Rubidium PM2.5,2024-10-01,3
ChemSpecPM25,Rubidium PM2.5,2024-11-01,3
ChemSpecPM25,Rubidium PM2.5,2024-12-01,3
ChemSpecPM25,Rubidium PM2.5,2025-01-01,3
ChemSpecPM25,Rubidium PM2.5,2025-02-01,3
ChemSpecPM25,Rubidium PM2.5,2025-03-01,3
ChemSpecPM25,Rubidium PM2.5,2025-04-01,3
ChemSpecPM25,Rubidium PM2.5,2025-05-01,3
ChemSpecPM25,Rubidium PM2.5,2025-07-01,3
ChemSpecPM25,Rubidium PM2.5,2024-09-01,2
ChemSpecPM25,Rubidium PM2.5,2025-06-01,2
ChemSpecPM25,Rubidium PM2.5,2026-01-01,2
ChemSpecPM25,Rubidium PM2.5,2025-08-01,1
ChemSpecPM25,Selenium PM2.5,2024-01-01,11
ChemSpecPM25,Selenium PM2.5,2024-03-01,11
ChemSpecPM25,Selenium PM2.5,2023-04-01,10
ChemSpecPM25,Selenium PM2.5,2023-06-01,10
ChemSpecPM25,Selenium PM2.5,2023-07-01,10
ChemSpecPM25,Selenium PM2.5,2023-11-01,10
ChemSpecPM25,Selenium PM2.5,2023-12-01,10
ChemSpecPM25,Selenium PM2.5,2024-04-01,10
ChemSpecPM25,Selenium PM2.5,2024-07-01,10
ChemSpecPM25,Selenium PM2.5,2022-12-01,9
ChemSpecPM25,Selenium PM2.5,2023-01-01,9
ChemSpecPM25,Selenium PM2.5,2023-02-01,9
ChemSpecPM25,Selenium PM2.5,2023-08-01,9
ChemSpecPM25,Selenium PM2.5,2023-09-01,9
ChemSpecPM25,Selenium PM2.5,2024-02-01,9
ChemSpecPM25,Selenium PM2.5,2024-06-01,9
ChemSpecPM25,Selenium PM2.5,2023-03-01,8
ChemSpecPM25,Selenium PM2.5,2023-05-01,8
ChemSpecPM25,Selenium PM2.5,2025-12-01,8
ChemSpecPM25,Selenium PM2.5,2023-10-01,6
ChemSpecPM25,Selenium PM2.5,2024-08-01,5
ChemSpecPM25,Selenium PM2.5,2024-05-01,4
ChemSpecPM25,Selenium PM2.5,2025-11-01,4
ChemSpecPM25,Selenium PM2.5,2024-10-01,3
ChemSpecPM25,Selenium PM2.5,2024-11-01,3
ChemSpecPM25,Selenium PM2.5,2024-12-01,3
ChemSpecPM25,Selenium PM2.5,2025-01-01,3
